id_caso,respuesta
100,0
101,0
102,0
103,0
104,1
105,1
106,0
107,0
108,1
109,1
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,1
122,1
123,1
124,1
125,1
126,0
127,0
128,0
129,0
130,1
131,1
132,0
133,1
134,1
135,0
136,0
137,0
138,1
139,1
140,0
141,1
142,0
143,0
144,1
145,0
146,0
147,1
148,0
149,1
150,1
151,0
152,1
153,1
154,0
155,0
156,1
157,1
158,1
159,0
160,1
161,0
162,0
163,1
164,1
165,0
166,1
167,0
168,0
169,1
170,1
171,0
172,0
173,0
174,1
175,1
176,0
177,0
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,0
186,0
187,0
188,0
189,1
190,1
191,1
192,0
193,1
194,0
195,1
196,0
197,1
198,0
199,1